"","Age","Country","state","self_employed","family_history","treatment","work_interfere","no_employees","remote_work","tech_company","benefits","care_options","wellness_program","seek_help","anonymity","leave","mental_health_consequence","phys_health_consequence","coworkers","supervisor","mental_health_interview","phys_health_interview","mental_vs_physical","obs_consequence","Gender"
"16",29,"United States","IL",NA,"Yes","Yes","Rarely","26-100","No","Yes","Yes","Not sure","No","No","Don't know","Somewhat easy","No","No","Yes","Some of them","Maybe","Maybe","Don't know","No","Female"
"17",23,"United Kingdom",NA,NA,"No","Yes","Sometimes","26-100","Yes","Yes","Don't know","No","Don't know","Don't know","Don't know","Very easy","Maybe","No","Some of them","No","Maybe","Maybe","No","No","Male"
"18",32,"United States","TN",NA,"No","Yes","Sometimes","6-25","No","Yes","Yes","Yes","No","Don't know","Don't know","Don't know","Maybe","No","Some of them","Yes","No","No","No","No","Male"
"19",46,"United States","MD","Yes","Yes","No","Sometimes","1-5","Yes","Yes","Yes","Not sure","Yes","Don't know","Yes","Very easy","No","No","Yes","Yes","No","Yes","Yes","Yes","Male"
"20",36,"France",NA,"Yes","Yes","No","Never","6-25","Yes","Yes","No","No","Yes","No","Yes","Somewhat easy","No","No","Some of them","Some of them","Maybe","Maybe","Don't know","No","Male"
"21",29,"United States","NY","No","Yes","Yes","Sometimes","100-500","No","Yes","Yes","Yes","No","No","No","Somewhat difficult","Maybe","No","Some of them","Some of them","No","No","No","No","Male"
"22",31,"United States","NC","Yes","No","No","Never","1-5","Yes","Yes","No","No","No","No","Yes","Somewhat difficult","No","No","Some of them","Some of them","No","Maybe","Yes","No","Male"
"23",46,"United States","MA","No","No","Yes","Often","26-100","Yes","Yes","Yes","Yes","No","No","Don't know","Don't know","Maybe","No","Some of them","Yes","No","Maybe","No","No","Male"
"24",41,"United States","IA","No","No","Yes","Never","More than 1000","No","No","Don't know","No","No","Don't know","Don't know","Don't know","Maybe","No","No","No","No","Yes","Don't know","No","Male"
"25",33,"United States","CA","No","Yes","Yes","Rarely","26-100","No","Yes","Yes","Not sure","Don't know","Yes","Yes","Don't know","No","No","Yes","Yes","No","Yes","Don't know","No","Male"
"26",35,"United States","TN","No","Yes","Yes","Sometimes","More than 1000","No","No","Yes","Yes","No","Don't know","No","Very easy","Yes","No","Some of them","Yes","No","Yes","No","No","Male"
"27",33,"United States","TN","No","No","No","Never","1-5","No","Yes","Don't know","Not sure","No","Don't know","Don't know","Don't know","Maybe","Maybe","Some of them","No","No","No","Don't know","No","Male"
"28",35,"United States","CA","No","Yes","Yes","Rarely","6-25","Yes","Yes","Yes","Yes","Don't know","Don't know","Don't know","Don't know","No","No","Yes","Yes","Maybe","Maybe","Yes","No","Female"
"29",34,"United States","OH","No","No","Yes","Sometimes","26-100","Yes","Yes","Don't know","Not sure","No","Don't know","Don't know","Somewhat difficult","No","No","Some of them","No","No","No","No","No","Male"
"30",37,"United Kingdom",NA,"No","No","No","Sometimes","6-25","No","Yes","No","No","No","No","Don't know","Very difficult","Yes","Maybe","Some of them","No","No","Maybe","No","No","Male"
"31",32,"United Kingdom",NA,"No","No","No","Never","6-25","Yes","Yes","No","No","No","No","Don't know","Don't know","Yes","Yes","Some of them","Some of them","No","Maybe","No","No","Male"
"32",31,"United States","PA","Yes","Yes","No","Rarely","1-5","Yes","Yes","No","Yes","No","No","Don't know","Somewhat difficult","Yes","No","No","No","No","No","No","Yes","Male"
"33",30,"United Kingdom",NA,"No","Yes","Yes","Sometimes","500-1000","Yes","Yes","Don't know","No","No","No","Yes","Somewhat easy","Maybe","No","Some of them","Yes","No","Yes","Don't know","No","Male"
"34",42,"United States","WA","No","Yes","Yes","Sometimes","26-100","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Very easy","Maybe","No","Some of them","Some of them","Maybe","Yes","Don't know","No","Male"
"35",40,"United States","WI","No","No","Yes","Sometimes","1-5","No","Yes","Yes","Yes","No","No","Don't know","Don't know","Maybe","No","Some of them","No","No","Maybe","Yes","No","Female"
"36",27,"United States","NY","No","No","Yes","Rarely","6-25","No","Yes","No","Yes","No","No","Don't know","Very easy","No","No","Yes","Yes","Maybe","Maybe","Don't know","No","Male"
"37",29,"Canada",NA,"No","No","No","Rarely","1-5","No","Yes","No","No","No","No","Don't know","Very easy","Yes","Maybe","Some of them","No","No","No","Don't know","No","Male"
"38",38,"Portugal",NA,"No","No","No","Never","100-500","No","Yes","No","Yes","No","No","Don't know","Somewhat easy","Maybe","No","Some of them","Some of them","No","Maybe","No","No","Male"
"39",50,"United States","IN","No","No","No","Never","100-500","No","Yes","Yes","Yes","No","Don't know","Don't know","Don't know","No","No","Some of them","Yes","No","Maybe","Don't know","No","Male"
"40",35,"United States","TX","No","No","Yes","Rarely","More than 1000","Yes","Yes","Yes","Yes","No","Yes","Yes","Very easy","No","No","Yes","Yes","Maybe","Maybe","Yes","No","Male"
"41",24,"United Kingdom",NA,"No","No","Yes","Sometimes","6-25","No","Yes","No","No","No","No","Don't know","Don't know","Maybe","Maybe","Some of them","No","No","Yes","No","Yes","Male"
"42",35,"United States","MI","No","No","No","Never","More than 1000","Yes","Yes","Yes","Not sure","Don't know","Yes","Don't know","Somewhat difficult","Yes","Yes","Some of them","No","No","Maybe","Don't know","No","Male"
"43",27,"Canada",NA,"No","Yes","Yes","Sometimes","1-5","No","Yes","No","Yes","No","No","Yes","Very difficult","Maybe","No","Some of them","No","No","No","Yes","No","Male"
"44",18,"Netherlands",NA,"No","No","No","Often","6-25","No","Yes","No","Not sure","No","No","Don't know","Somewhat difficult","Yes","Maybe","No","Some of them","No","No","No","No","Male"
"45",30,"United States","IN","No","No","Yes","Sometimes","26-100","No","Yes","Don't know","No","No","No","Don't know","Don't know","No","No","No","No","No","Maybe","Don't know","No","Male"
"46",38,"United States","TX","No","Yes","Yes","Sometimes","26-100","No","Yes","Yes","Yes","No","Yes","Yes","Somewhat easy","No","No","Some of them","Yes","No","No","Yes","No","Female"
"47",28,"United Kingdom",NA,"No","No","No","Never","26-100","No","Yes","Don't know","Not sure","No","No","Don't know","Don't know","No","Maybe","Some of them","Yes","Maybe","Yes","Don't know","No","Male"
"48",34,"United States","TN","No","No","No","Never","6-25","No","Yes","No","No","No","No","Don't know","Don't know","No","No","Yes","Yes","Maybe","Yes","Don't know","No","Male"
"49",26,"Canada",NA,"Yes","No","No","Sometimes","1-5","No","Yes","No","Yes","Yes","No","Don't know","Don't know","No","No","Yes","Yes","No","No","Yes","No","Male"
"50",30,"United States","IL","No","Yes","Yes","Rarely","26-100","No","Yes","Yes","No","No","Don't know","Don't know","Don't know","Maybe","No","Some of them","Yes","No","No","Don't know","No","Male"
"51",22,"United States","TX","No","Yes","Yes","Often","6-25","No","Yes","No","Yes","No","No","Yes","Very difficult","Maybe","No","No","No","No","Maybe","Don't know","No","Male"
"52",33,"United States","UT","No","No","No","Never","100-500","Yes","Yes","Don't know","Not sure","Don't know","Don't know","Don't know","Don't know","No","No","Some of them","Yes","Maybe","Maybe","Don't know","No","Male"
"53",31,"United States",NA,"No","No","No","Never","100-500","Yes","Yes","Don't know","No","Don't know","Don't know","Don't know","Don't know","Maybe","Maybe","Some of them","Some of them","Maybe","Maybe","Don't know","No","Male"
"54",32,"United States","TN","No","No","No","Never","1-5","Yes","Yes","Don't know","Not sure","No","No","Don't know","Don't know","Maybe","No","Some of them","Yes","No","No","Don't know","No","Male"
"55",28,"Switzerland",NA,"No","No","No","Never","100-500","No","Yes","No","No","No","No","Don't know","Don't know","No","No","No","No","No","Maybe","Don't know","No","Male"
"56",27,"United States","NY","No","Yes","Yes","Rarely","26-100","No","Yes","Yes","Yes","No","No","Yes","Don't know","Maybe","No","No","No","No","No","Don't know","No","Non-M/F"
"57",32,"United States","TN","No","Yes","No","Never","6-25","Yes","Yes","Don't know","No","No","No","Don't know","Somewhat easy","No","No","Yes","Yes","No","No","Yes","No","Male"
"58",24,"United States","NY","No","Yes","Yes","Sometimes","26-100","Yes","Yes","Don't know","No","No","No","Don't know","Don't know","No","Maybe","Some of them","Yes","Yes","Yes","No","No","Male"
"59",26,"United States","TN","No","No","No","Never","26-100","No","No","No","No","No","No","Yes","Somewhat easy","No","No","Some of them","Yes","Maybe","Yes","Don't know","No","Male"
"60",33,"Canada",NA,"No","Yes","Yes","Often","6-25","Yes","Yes","Don't know","No","No","No","No","Somewhat difficult","Yes","No","No","No","No","Maybe","Don't know","No","Male"
"61",44,"United States","IA","No","Yes","Yes","Sometimes","More than 1000","No","No","Yes","No","No","Don't know","Don't know","Don't know","Yes","Maybe","Some of them","No","No","Maybe","Don't know","Yes","Male"
"62",26,"Poland",NA,"No","No","Yes","Sometimes","26-100","Yes","Yes","Don't know","Not sure","Yes","Yes","Yes","Very easy","No","No","Yes","Yes","Maybe","Yes","Yes","No","Female"
"63",27,"United Kingdom",NA,"No","No","No","Never","100-500","No","Yes","Yes","Not sure","No","Yes","Don't know","Somewhat easy","No","No","Yes","Yes","Maybe","Maybe","Yes","No","Male"
"64",26,"France",NA,"No","No","No","Never","26-100","No","Yes","No","No","No","No","Don't know","Very easy","Yes","No","No","No","No","No","No","Yes","Male"
"65",35,"Canada",NA,"No","No","No","Sometimes","6-25","No","Yes","Don't know","No","No","No","Don't know","Somewhat easy","No","No","Some of them","Yes","No","Maybe","Don't know","No","Male"
"66",40,"United States","CA","No","Yes","No","Sometimes","More than 1000","Yes","Yes","Yes","Yes","Yes","Yes","Don't know","Don't know","Yes","Maybe","Some of them","No","No","No","No","Yes","Male"
"67",23,"Australia",NA,"No","Yes","Yes","Often","1-5","Yes","Yes","No","Not sure","No","No","Don't know","Very easy","No","No","Some of them","Yes","No","Maybe","Yes","No","Female"
"68",36,"United States","TX","No","No","No","Sometimes","100-500","Yes","Yes","Yes","No","Don't know","Yes","Don't know","Don't know","Maybe","No","Some of them","Some of them","Maybe","Yes","Yes","No","Male"
"69",31,"United States","NM","No","No","No","Never","26-100","Yes","No","Don't know","No","Don't know","Don't know","Don't know","Don't know","Maybe","No","Some of them","No","No","Maybe","Don't know","No","Female"
"70",34,"United States","NY","Yes","No","No","Rarely","1-5","Yes","Yes","No","No","No","No","Don't know","Don't know","Maybe","No","Some of them","No","No","No","Don't know","No","Male"
"71",28,"France",NA,"No","No","No","Never","26-100","No","Yes","No","No","No","No","Don't know","Don't know","Maybe","No","Some of them","Some of them","No","No","Don't know","No","Male"
"72",34,"Canada",NA,"No","No","No","Never","6-25","No","Yes","Don't know","Not sure","Don't know","Don't know","Don't know","Somewhat easy","No","No","Some of them","Yes","No","No","Don't know","No","Male"
"73",23,"United States","MA","No","No","No","Rarely","More than 1000","No","Yes","Yes","Yes","No","No","Yes","Somewhat difficult","Maybe","No","Yes","Yes","No","No","No","No","Female"
"74",38,"United Kingdom",NA,"No","No","No","Never","26-100","No","Yes","No","No","No","Don't know","Yes","Somewhat easy","No","No","Some of them","Yes","Maybe","Yes","Yes","No","Male"
"75",33,"United States","CA","No","No","No","Never","More than 1000","No","Yes","Don't know","Not sure","Yes","Don't know","Don't know","Don't know","Maybe","No","Some of them","Some of them","No","Maybe","Yes","No","Male"
"76",19,"United Kingdom",NA,"No","No","No","Never","1-5","No","Yes","No","Yes","No","No","No","Somewhat difficult","Yes","No","No","No","No","Maybe","No","No","Male"
"77",25,"United States","WA","No","No","No","Never","More than 1000","Yes","Yes","Yes","Yes","Yes","Yes","Don't know","Don't know","No","No","Yes","Yes","Maybe","Yes","Yes","No","Male"
"78",31,"United States","WA","Yes","Yes","No","Sometimes","1-5","Yes","Yes","No","No","No","No","Yes","Somewhat difficult","No","No","Yes","Yes","Maybe","Maybe","Yes","No","Male"
"79",32,"United States","UT","No","Yes","Yes","Sometimes","26-100","Yes","Yes","No","No","No","No","Don't know","Somewhat difficult","Yes","No","Some of them","No","No","Yes","No","No","Male"
"80",28,"Germany",NA,"No","No","No","Never","6-25","Yes","Yes","Don't know","No","Don't know","Don't know","Don't know","Very easy","No","No","Some of them","Some of them","Maybe","Yes","Yes","No","Male"
"81",38,"United States","NY","No","Yes","No","Sometimes","100-500","Yes","Yes","Yes","Yes","No","Yes","Don't know","Don't know","No","No","Yes","Some of them","Maybe","Maybe","Yes","No","Male"
"82",23,"United Kingdom",NA,"No","No","No","Never","26-100","No","Yes","Yes","Not sure","Yes","Don't know","Don't know","Very easy","No","No","Some of them","Yes","Maybe","Maybe","Yes","No","Male"
"83",30,"Canada",NA,"No","No","No","Never","26-100","No","No","No","No","No","No","Don't know","Don't know","No","No","Some of them","Yes","No","No","No","No","Male"
"84",27,"United States","NY","Yes","No","Yes","Often","1-5","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Very easy","Maybe","Maybe","Some of them","Yes","No","Maybe","Yes","No","Female"
"85",33,"United States","CA","No","Yes","No","Never","More than 1000","No","Yes","No","No","No","No","Don't know","Don't know","Yes","No","No","No","No","Maybe","No","No","Male"
"86",31,"United States","TX","No","No","No","Never","26-100","No","Yes","Don't know","Not sure","No","No","Don't know","Don't know","No","No","Some of them","Yes","Maybe","Maybe","No","No","Male"
"87",39,"United Kingdom",NA,"Yes","No","Yes","Often","6-25","No","Yes","No","No","No","No","Don't know","Very difficult","Maybe","No","Some of them","No","No","Maybe","No","Yes","Male"
"88",34,"United States","OR","No","Yes","Yes","Rarely","500-1000","Yes","Yes","Yes","Not sure","No","Don't know","Don't know","Don't know","Yes","Maybe","Some of them","Some of them","No","No","Don't know","No","Female"
"89",29,"United States","FL","No","No","Yes","Sometimes","26-100","No","Yes","Yes","Yes","No","No","Don't know","Don't know","Maybe","No","Some of them","Some of them","No","Maybe","No","Yes","Female"
"90",32,"United States","IL","No","No","No","Never","500-1000","No","Yes","Don't know","No","No","Don't know","Don't know","Don't know","No","No","Some of them","Some of them","No","No","Don't know","No","Male"
"91",31,"United States","NY","No","No","No","Never","500-1000","No","Yes","Yes","Yes","Yes","Yes","Yes","Somewhat easy","No","No","Some of them","Yes","No","No","Yes","No","Male"
"92",40,"United States","TX","No","No","Yes","Sometimes","26-100","No","Yes","No","Yes","No","No","Yes","Very difficult","No","No","Yes","Yes","Yes","Yes","No","No","Male"
"93",34,"United States","OH","No","No","No","Never","26-100","No","Yes","Don't know","No","No","No","Don't know","Somewhat easy","Maybe","No","Some of them","No","No","Maybe","Don't know","No","Male"
"94",18,"Russia",NA,"No","No","No","Never","26-100","Yes","Yes","Yes","Yes","No","No","Yes","Somewhat easy","No","No","Yes","Yes","Yes","Yes","Don't know","No","Non-M/F"
"95",25,"Canada",NA,"No","No","Yes","Sometimes","26-100","No","Yes","Yes","Yes","No","Don't know","Don't know","Don't know","Maybe","No","Some of them","Yes","No","Maybe","Don't know","No","Female"
"96",29,"United States","MN","No","No","No","Never","26-100","No","Yes","Don't know","No","No","Don't know","Don't know","Don't know","No","No","Yes","Yes","Maybe","Maybe","No","No","Male"
"97",24,"United States","MO","No","Yes","No","Rarely","26-100","No","Yes","Don't know","Not sure","No","Don't know","Don't know","Somewhat easy","Maybe","Maybe","Some of them","No","No","Maybe","Don't know","No","Male"
"98",31,"Mexico",NA,"No","Yes","Yes","Sometimes","6-25","No","Yes","Don't know","No","No","No","Don't know","Don't know","No","No","Some of them","Yes","Maybe","Yes","No","No","Male"
"99",33,"United States","AZ","No","No","Yes","Sometimes","6-25","No","Yes","No","Yes","No","No","Don't know","Somewhat easy","Maybe","No","Some of them","No","No","Maybe","No","No","Male"
"100",30,"United States","IN","No","No","Yes","Often","1-5","No","Yes","No","Yes","No","No","Yes","Somewhat easy","No","No","Yes","Yes","Maybe","Maybe","Yes","No","Male"
"101",26,"Canada",NA,"No","Yes","Yes","Sometimes","26-100","No","No","No","Yes","No","No","No","Very difficult","Yes","No","No","No","No","Maybe","No","Yes","Female"
"102",44,"United States","MA","No","No","No","Never","100-500","No","Yes","Yes","Not sure","Don't know","Don't know","Don't know","Don't know","Maybe","Maybe","No","Some of them","No","No","Don't know","No","Female"
"103",25,"United States","NY","No","Yes","No","Never","26-100","No","Yes","Don't know","No","Don't know","Don't know","Don't know","Very easy","No","No","Some of them","Yes","No","No","Don't know","No","Male"
"104",33,"United States","WI","No","Yes","Yes","Sometimes","26-100","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Somewhat easy","No","No","Some of them","Yes","Maybe","Maybe","Yes","No","Male"
"105",29,"United States","NY","No","No","No","Never","More than 1000","No","Yes","Yes","Not sure","Yes","Don't know","Don't know","Somewhat easy","No","No","Some of them","Yes","No","No","Don't know","No","Male"
"106",35,"United States","MO","No","Yes","No","Rarely","6-25","No","Yes","Yes","Not sure","No","No","Yes","Somewhat easy","No","No","Some of them","Yes","No","No","Don't know","No","Male"
"107",35,"United States","OR","No","Yes","Yes","Sometimes","26-100","Yes","Yes","Don't know","Not sure","No","No","Don't know","Somewhat easy","No","No","Some of them","Yes","No","Maybe","No","No","Male"
"108",28,"Brazil",NA,"No","Yes","Yes","Rarely","6-25","No","Yes","No","No","No","No","No","Don't know","Maybe","No","Yes","Yes","No","No","Don't know","Yes","Male"
"109",34,"United States","TN","No","Yes","No","Never","6-25","Yes","Yes","Yes","No","No","No","Don't know","Don't know","Maybe","No","No","No","No","No","Don't know","No","Male"
"110",32,"United States","WA","No","No","Yes","Sometimes","26-100","No","Yes","Yes","No","Yes","Yes","Yes","Somewhat difficult","Maybe","No","Some of them","Yes","No","Maybe","Yes","No","Male"
"111",22,"United States","NY","No","No","Yes","Sometimes","500-1000","No","Yes","Yes","Yes","No","Don't know","Yes","Don't know","Yes","No","No","No","No","Yes","No","No","Male"
"112",28,"United States","CA","No","No","Yes","Sometimes","26-100","No","Yes","Yes","Yes","Yes","Yes","Yes","Somewhat easy","No","No","Some of them","Some of them","No","Maybe","Yes","No","Male"
"113",45,"United States","MO","No","Yes","Yes","Rarely","6-25","Yes","Yes","Yes","Yes","No","Yes","Yes","Very easy","No","No","Yes","Yes","Yes","Yes","Yes","No","Male"
"114",32,"United States","NY","No","No","No","Never","100-500","No","Yes","Yes","Yes","No","Don't know","Don't know","Don't know","Maybe","No","Some of them","Some of them","No","No","Don't know","No","Male"
"115",28,"United States","TX","No","No","No","Never","More than 1000","No","Yes","Don't know","No","No","Don't know","Don't know","Don't know","Maybe","No","Some of them","No","No","Maybe","Don't know","No","Male"
"116",26,"United Kingdom",NA,"No","No","No","Never","6-25","No","Yes","Don't know","No","No","Don't know","Don't know","Very easy","No","No","Some of them","Some of them","No","No","Don't know","Yes","Male"
"117",21,"United Kingdom",NA,"Yes","No","No","Often","1-5","Yes","No","No","Yes","No","No","Yes","Very difficult","Yes","No","Some of them","Yes","No","Maybe","No","No","Male"
"118",27,"Canada",NA,"No","No","No","Rarely","6-25","No","No","Yes","Yes","Yes","Yes","Yes","Very easy","Maybe","No","Some of them","Yes","No","No","Don't know","No","Male"
"119",18,"United States","CT","No","No","Yes","Rarely","1-5","Yes","Yes","No","No","No","No","Yes","Very easy","No","No","Some of them","No","No","No","Don't know","No","Male"
"120",35,"United States","CO","No","No","No","Never","26-100","Yes","Yes","Don't know","Not sure","No","Don't know","Don't know","Don't know","No","No","Some of them","Yes","Maybe","Maybe","Don't know","No","Male"
"121",29,"United States","GA","No","No","No","Never","More than 1000","No","Yes","Yes","Yes","No","Yes","Don't know","Don't know","Yes","Yes","No","No","No","No","Don't know","No","Male"
"122",25,"United States","DC","No","No","No","Never","26-100","Yes","Yes","Don't know","No","No","No","Don't know","Very easy","No","No","Some of them","Yes","No","No","Don't know","No","Male"
"123",33,"United States","MN","No","Yes","Yes","Sometimes","6-25","Yes","Yes","Don't know","No","Don't know","Don't know","Yes","Very easy","No","No","Yes","Yes","No","Maybe","Yes","No","Male"
"124",36,"United States","WA","No","No","No","Often","6-25","No","Yes","Yes","No","No","No","Yes","Don't know","Maybe","No","No","No","No","No","Don't know","No","Male"
"125",27,"Canada",NA,"No","No","Yes","Never","100-500","No","No","Yes","Not sure","No","No","Don't know","Very difficult","Maybe","No","Some of them","Yes","No","Maybe","No","Yes","Male"
"126",27,"United States","WA","No","Yes","No","Never","500-1000","No","Yes","Yes","No","Yes","Yes","Yes","Don't know","Yes","No","Some of them","No","No","Yes","Don't know","No","Male"
"127",27,"United Kingdom",NA,"No","No","No","Never","6-25","No","Yes","No","No","No","No","Don't know","Don't know","No","No","Some of them","Some of them","No","No","Don't know","No","Male"
"128",32,"United States","OR","No","No","Yes","Rarely","100-500","No","Yes","Yes","Yes","No","Yes","Yes","Don't know","Yes","No","No","Yes","No","No","Don't know","No","Male"
"129",31,"United Kingdom",NA,"No","Yes","No","Sometimes","6-25","No","Yes","No","No","No","No","Don't know","Somewhat easy","Maybe","Maybe","No","No","No","No","Yes","No","Male"
"130",19,"Slovenia",NA,"No","No","Yes","Sometimes","6-25","No","Yes","Don't know","No","No","No","Don't know","Somewhat easy","Yes","Yes","Some of them","No","No","No","Don't know","No","Male"
"131",33,"United States","IL","No","Yes","Yes","Sometimes","More than 1000","No","Yes","Yes","Yes","No","No","Don't know","Very easy","Maybe","No","Yes","Some of them","No","Yes","No","No","Male"
"132",32,"United States","CA","No","No","No","Rarely","1-5","Yes","Yes","No","Yes","No","No","Don't know","Very difficult","Maybe","No","Yes","Some of them","No","Yes","Don't know","No","Male"
"133",27,"United States","NE","No","No","No","Never","26-100","No","Yes","Don't know","Not sure","Don't know","Don't know","Don't know","Don't know","No","No","Yes","Yes","Maybe","Maybe","Don't know","No","Male"
"134",38,"Costa Rica",NA,"No","No","No","Never","26-100","Yes","Yes","No","Yes","No","No","Yes","Somewhat easy","No","No","Yes","Yes","Maybe","Yes","No","No","Male"
"135",24,"Canada",NA,"No","No","Yes","Never","26-100","No","Yes","Don't know","No","No","No","Don't know","Don't know","No","No","Some of them","Yes","Maybe","Yes","Don't know","No","Male"
"136",39,"United Kingdom",NA,"No","No","No","Never","26-100","No","No","No","No","No","No","Don't know","Don't know","Yes","Maybe","No","No","No","No","Don't know","No","Male"
"137",28,"United Kingdom",NA,"No","No","No","Never","6-25","No","Yes","Don't know","No","No","No","Yes","Very easy","No","No","Some of them","Yes","Maybe","Maybe","Yes","No","Male"
"138",39,"United States","IA","No","No","Yes","Often","More than 1000","No","Yes","Yes","Not sure","No","No","Don't know","Somewhat easy","No","No","Yes","Yes","No","No","Don't know","No","Male"
"139",29,"United States","MD","No","No","No","Never","6-25","No","Yes","Don't know","No","No","Don't know","Don't know","Somewhat easy","Maybe","No","Some of them","No","No","No","Don't know","No","Female"
"140",22,"Austria",NA,"No","No","No","Never","6-25","Yes","Yes","Don't know","No","Don't know","No","Don't know","Somewhat easy","No","No","Some of them","Some of them","No","No","Don't know","No","Male"
"141",38,"United States","OR","No","Yes","Yes","Sometimes","100-500","No","Yes","Don't know","No","Don't know","Don't know","Don't know","Don't know","Maybe","No","Some of them","Yes","No","No","Don't know","No","Male"
"142",37,"United Kingdom",NA,"Yes","No","Yes","Sometimes","More than 1000","No","No","No","Yes","Yes","Yes","Yes","Very difficult","Yes","Yes","Some of them","No","No","Maybe","Yes","No","Male"
"143",35,"United States","TX","No","No","No","Never","26-100","Yes","No","Don't know","Not sure","Don't know","Don't know","Don't know","Don't know","Yes","No","Some of them","No","No","Maybe","Don't know","No","Male"
"145",30,"United States","PA","No","Yes","No","Never","More than 1000","Yes","Yes","Don't know","Not sure","No","Don't know","Don't know","Don't know","Maybe","Maybe","Some of them","Some of them","No","Maybe","Don't know","No","Female"
"146",37,"United States","IN","No","Yes","Yes","Rarely","100-500","No","No","Yes","Yes","Yes","Yes","Don't know","Somewhat easy","Maybe","Maybe","Some of them","Yes","Maybe","Maybe","Don't know","No","Male"
"147",24,"United Kingdom",NA,"No","No","No","Never","6-25","No","Yes","No","No","No","No","Yes","Don't know","Maybe","Maybe","No","Some of them","No","No","Don't know","No","Male"
"148",23,"United States","WV","No","No","No","Sometimes","6-25","No","No","No","No","No","No","No","Somewhat easy","Yes","Yes","No","No","No","No","No","No","Male"
"149",30,"Ireland",NA,"No","No","Yes","Rarely","100-500","No","Yes","No","Yes","Yes","Yes","Don't know","Somewhat easy","Yes","No","Some of them","No","No","No","No","Yes","Male"
"150",29,"United States","MI","No","No","No","Never","100-500","Yes","Yes","Don't know","Not sure","No","Don't know","Don't know","Don't know","Maybe","No","No","Some of them","No","Maybe","Don't know","No","Female"
"151",19,"Canada",NA,"Yes","Yes","No","Never","1-5","Yes","Yes","Don't know","Not sure","No","Yes","Yes","Somewhat easy","Maybe","No","Some of them","Some of them","Maybe","Maybe","Don't know","No","Male"
"152",32,"United States","CA","No","Yes","No","Never","26-100","No","Yes","Don't know","Not sure","No","No","Don't know","Very easy","No","No","Some of them","Some of them","No","Maybe","No","No","Male"
"153",28,"Poland",NA,"No","No","No","Rarely","6-25","Yes","Yes","No","No","No","No","Don't know","Don't know","No","No","Yes","Yes","Maybe","Yes","Yes","No","Male"
